impl,    size,  threshold, iters, iter_time,    time

seq,     2048,       1e-5,    18,    0.2886,  186.37
cuda,    2048,       1e-5,    18,    0.1101,  191.30
shmem,   2048,       1e-5,    18,    0.1610,  187.71
thrust,  2048,       1e-5,    18,    0.2507,  194.57
ideal,   2048,       1e-5,    18,    0.0000,  186.37

seq,    16384,       1e-5,    15,    3.6963,  361.44
cuda,   16384,       1e-5,    15,    0.3697,  353.39
shmem,  16384,       1e-5,    15,    0.4794,  313.91
thrust, 16384,       1e-5,    15,    0.6245,  342.47
ideal,  16384,       1e-5,    15,    0.0001,  306.00

seq,    65536,       1e-5,    14,   23.2777, 1195.56
cuda,   65536,       1e-5,    14,    2.0839, 1040.30
shmem,  65536,       1e-5,    14,    2.7562, 1010.18
thrust, 65536,       1e-5,    14,    2.6303, 1065.77
ideal,  65536,       1e-5,    14,    0.0008,  869.68

seq,     2048,      1e-10,    18,    0.2877,  188.44
cuda,    2048,      1e-10,    18,    0.1064,  197.88
shmem,   2048,      1e-10,    18,    0.1883,  184.41
thrust,  2048,      1e-10,    18,    0.2331,  193.27
ideal,   2048,      1e-10,    18,    0.0000,  183.26

seq,    16384,      1e-10,    25,    3.8654,  416.97
cuda,   16384,      1e-10,    25,    0.3565,  377.38
shmem,  16384,      1e-10,    25,    0.4650,  358.13
thrust, 16384,      1e-10,    25,    0.6241,  368.85
ideal,  16384,      1e-10,    25,    0.0001,  320.34

seq,    65536,      1e-10,   117,   23.4670, 3742.55
cuda,   65536,      1e-10,   117,    1.5167, 1203.70
shmem,  65536,      1e-10,   117,    2.1053, 1207.19
thrust, 65536,      1e-10,   117,    1.9130, 1219.80
ideal,  65536,      1e-10,   117,    0.0007,  997.00
